id,id_personneA,id_personneB,id_commune,type,date,num_vue
1,1,2,1,Mariage,14/11/1876,48/210
2,1,3,1,Mariage,15/06/1857,287/447
3,4,5,2,Mariage,10/11/1891,33/179
4,6,7,3,Mariage,11/09/1844,329/455
5,8,9,4,Mariage,17/10/1859,202/228
6,10,11,1,Mariage,07/04/1818,323/393
7,12,13,5,Mariage,12/02/1743,96/209
8,14,15,6,Mariage,11/11/1835,420/492
9,16,17,5,Mariage,29/05/1815,269/343
10,18,19,7,Publication de mariage,03/09/1871,7/093
11,20,21,8,Mariage,01/08/1672,114/138
12,22,23,9,Mariage,29/04/1839,17/244
13,24,25,10,Mariage,15/06/1897,4/043
14,26,27,11,Mariage,10/02/1795,
15,28,29,12,Mariage,12/11/1817,91/226
16,30,31,13,Mariage,10/02/1695,
17,32,33,13,Mariage,17/11/1789,
18,34,35,14,Mariage,08/01/1895,123/146
19,36,37,15,Mariage,25/04/1903,5/059
20,38,39,16,Mariage,16/09/1694,8/010
21,40,41,16,Mariage,12/02/1732,91/110
22,42,43,17,Mariage,23/11/1830,174/179
23,44,45,2,Mariage,02/05/1667,123/166
24,46,47,18,Mariage,20/06/1732,41/057
25,48,49,19,Mariage,07/07/1733,102/118
26,50,51,20,Mariage,21/01/1807,
27,52,53,21,Mariage,23/01/1782,
28,54,55,20,Mariage,26/07/1858,
29,56,57,18,Mariage,19/02/1612,6/022
30,58,59,20,Mariage,17/06/1739,53/119
31,60,61,20,Mariage,24/02/1716,125/160
32,62,63,20,Mariage,07/07/1688,2/146
33,64,65,20,Mariage,22/02/1762,104/197
34,66,67,20,Mariage,06/07/1707,140/189
35,66,68,20,Mariage,20/09/1614,25/126
36,69,70,20,Mariage,12/02/1744,32/133
37,71,72,20,Mariage,20/09/1790,180/225
38,66,73,20,Mariage,26/02/1685,94/152
39,74,75,20,Mariage,19/09/1624,69/126
40,76,77,20,Mariage,25/09/1738,39/119
41,78,79,20,Mariage,05/02/1710,5/160
42,80,81,22,Mariage,06/08/1900,100/110
43,82,83,20,Mariage,21/06/1871,
44,84,85,20,Mariage,18/06/1851,
45,86,87,23,Mariage,02/07/1798,21/089
46,88,89,20,Mariage,,
47,90,91,24,Mariage,22/06/1722,334/478
48,92,93,25,Mariage,06/08/1765,9/446
49,94,95,25,Mariage,22/10/1738,43/454
50,92,96,25,Mariage,25/10/1780,30/229
51,97,98,26,Mariage,22/06/1891,95/110
52,99,100,24,Mariage,04/06/1738,36/201
53,99,101,20,Mariage,27/07/1814,
54,102,103,20,Mariage,26/07/1814,
55,99,104,21,Mariage,05/11/1659,
56,99,105,21,Mariage,09/02/1673,
57,106,107,25,Mariage,16/10/1737,14/454
58,108,109,20,Mariage,01/08/1792,15/027
59,99,110,24,Mariage,26/10/1751,35/156
60,111,112,20,Mariage,14/02/1781,94/211
61,113,114,25,Mariage,07/02/1780,7/229
62,115,116,20,Mariage,04/11/1818,
63,99,117,20,Mariage,04/11/1818,
64,118,119,22,Mariage,05/07/1852,190/359
65,108,120,22,Mariage,26/01/1785,50/113
66,99,121,21,Mariage,12/10/1656,
67,122,123,22,Mariage,11/10/1820,393/405
68,124,125,27,Mariage,,
69,126,127,27,Mariage,,
70,128,129,20,Mariage,20/06/1898,09/026
71,130,131,22,Mariage,15/11/1809,87/419
72,130,132,22,Mariage,12/08/1826,352/542
73,133,134,23,Mariage,27/04/1841,238/438
74,135,136,2,Mariage,30/06/1857,38/223
75,135,137,20,Mariage,08/02/1809,
76,138,139,20,Mariage,25/06/1906,
77,140,141,20,Mariage,21/01/1807,
78,142,51,20,Mariage,21/01/1807,
79,143,144,20,Mariage,13/01/1613,17/126
80,145,146,20,Mariage,01/07/1736,186/186
81,147,148,28,Mariage,06/02/1787,243/383
82,149,150,22,Mariage,15/11/1808,163/170
83,151,152,20,Mariage,01/02/1792,5/027
84,151,153,22,Mariage,21/10/1683,33/093
85,154,155,23,Mariage,21/06/1808,120/418
86,156,157,22,Mariage,,1/100
87,156,158,20,Mariage,04/06/1783,142/211
88,159,160,20,Mariage,08/02/1809,
89,161,160,20,Mariage,08/02/1809,
90,162,163,20,Mariage,10/07/1715,109/160
91,164,165,20,Mariage,26/07/1646,119/126
92,166,167,20,Mariage,07/02/1621,54/126
93,168,169,24,Mariage,01/07/1732,455/478
94,170,171,25,Mariage,10/02/1777,325/446
95,172,173,29,Mariage,06/09/1746,90/117
96,174,175,20,Mariage,26/09/1774,38/061
97,176,177,20,Mariage,,
98,172,178,29,Mariage,06/10/1778,192/366
99,172,179,20,Mariage,,
100,180,181,29,Mariage,09/10/1759,151/217
101,182,183,26,Mariage,30/05/1911,3/009
102,184,185,20,Mariage,20/04/1842,
103,186,187,20,Mariage,22/08/1864,
104,188,189,30,Mariage,29/04/1863,194/355
105,190,191,22,Mariage,16/08/1852,197/359
106,192,193,26,Mariage,20/11/1883,11/013
107,194,195,25,Mariage,08/02/1741,91/454
108,196,197,28,Mariage,05/06/1753,9/193
109,198,199,22,Mariage,01/07/1812,298/419
110,200,201,24,Mariage,03/11/1677,14/478
111,202,203,20,Mariage,12/01/1814,220/393
112,204,205,20,Mariage,12/01/1814,220/393
113,206,207,31,Mariage,30/10/1878,74/109
114,208,209,32,Mariage,14/02/1702,
115,210,211,2,Mariage,23/01/1787,7/068
116,212,213,5,Mariage,27/05/1711,221/243
117,214,215,2,Mariage,31/07/1875,17/151
118,216,217,19,Mariage,12/11/1851,280/382
119,218,219,33,Mariage,21/11/1888,27/095
120,220,221,4,Mariage,30/11/1853,359/428
121,222,223,23,Mariage,18/06/1776,60/404
122,224,225,34,Mariage,29/07/1788,
123,224,226,23,Mariage,29/07/1788,28/149
124,227,228,35,Mariage,06/02/1787,142/204
125,229,230,21,Mariage,30/07/1675,
126,231,232,20,Mariage,18/10/1815,
127,233,234,20,Mariage,18/10/1815,
128,235,236,34,Mariage,29/08/1780,
129,237,238,20,Mariage,27/02/1786,8/225
130,239,240,36,Mariage,15/05/1680,
131,241,242,36,Mariage,01/07/1691,
132,243,244,25,Mariage,15/10/1782,120/229
133,243,245,25,Mariage,,62/112
134,246,247,8,Mariage,26/04/1814,97/554
135,248,249,8,Mariage,14/09/1846,330/432
136,250,251,8,Mariage,20/10/1879,52/147
137,252,253,36,Mariage,20/04/1654,
138,254,255,8,Mariage,28/09/1790,241/380
139,256,257,21,Mariage,24/10/1702,
140,258,259,8,Mariage,13/09/1740,26/308
141,258,260,30,Mariage,17/09/1715,
142,258,261,8,Mariage,09/10/1742,81/308
143,262,263,2,Mariage,07/01/1664,114/166
144,264,265,37,Mariage,20/05/1625,8/022
145,266,267,8,Mariage,08/02/1791,260/380
146,268,269,36,Mariage,10/01/1689,
147,270,271,38,Mariage,20/01/1711,67/068
148,272,273,8,Mariage,17/07/1882,128/147
149,274,275,8,Mariage,11/08/1879,40/147
150,276,277,8,Mariage,12/09/1881,98/147
151,278,279,39,Mariage,01/01/1731,
152,280,281,40,Mariage,20/10/1772,3/010
153,282,283,41,Mariage,14/02/1719,69/143
154,284,285,41,Mariage,27/11/1736,170/267
155,286,287,8,Mariage,,127/216
156,288,289,12,Contrat de mariage,15/09/1806,
157,290,291,2,Mariage,16/07/1750,11/106
158,292,293,2,Mariage,12/01/1751,28/106
159,294,295,42,Mariage,24/11/1693,78/117
160,294,296,42,Mariage,07/10/1697,98/117
161,297,298,43,Mariage,19/11/1697,42/337
162,297,299,43,Mariage,18/06/1839,345/543
163,300,301,44,Mariage,10/09/1888,39/091
164,302,303,45,Mariage,12/07/1709,73/082
165,304,305,46,Mariage,26/10/1729,171/340
166,304,306,46,Mariage,24/10/1742,126/180
167,307,308,47,Mariage,30/09/1739,9/013
168,309,310,1,Mariage,,52/109
169,307,311,48,Mariage,23/01/1753,163/303
170,307,312,48,Mariage,07/03/1791,188/198
171,313,314,49,Mariage,25/06/1851,122/157
172,315,316,50,Mariage,05/07/1746,13/099
173,307,317,51,Mariage,04/07/1731,105/119
174,318,319,52,Mariage,31/01/1786,64/120
175,320,321,53,Mariage,09/02/1751,2/031
176,322,323,43,Mariage,20/01/1768,79/304
177,320,324,49,Mariage,25/06/1851,122/157
178,318,325,52,Mariage,19/01/1790,105&106/120
179,318,326,46,Mariage,13/01/1778,56/123
180,318,327,52,Mariage,15/11/1763,21/162
181,318,328,51,Mariage,04/07/1731,105/119
182,329,330,54,Mariage,05/02/1782,8/058
183,331,332,55,Mariage,06/02/1769,80/264
184,331,333,48,Mariage,25/05/1751,154/303
185,331,334,48,Mariage,18/02/1765,265/303
186,331,335,45,Mariage,07/02/1719,32/167
187,336,337,43,Mariage,11/01/1848,18/583
188,331,338,55,Mariage,27/06/1752,14/106
189,331,339,55,Mariage,19/05/1778,240/264
190,340,341,15,Mariage,22/04/1903,4/059
191,340,342,15,Mariage,27/11/1894,58/159
192,343,344,52,Mariage,12/04/1842,81/316
193,345,346,56,Mariage,04/03/1824,14/423
194,347,348,56,Mariage,21/10/1863,94/111
195,349,350,1,Mariage,29/10/1861,81/261
196,351,352,57,Mariage,06/04/1853,346/403
197,353,354,58,Mariage,18/06/1895,39/149
198,355,356,46,Mariage,12/08/1766,10/216
199,355,357,51,Mariage,08/02/1746,57/087
200,358,359,2,Mariage,08/01/1788,2/079
201,360,361,59,Mariage,24/05/1796,2/016
202,362,363,60,Mariage,31/01/1758,7/019
203,364,365,61,Mariage,01/10/1663,2/007
204,366,367,62,Mariage,17/10/1855,6/224
205,368,369,56,Mariage,06/11/1794,19/080
206,370,371,63,Mariage,15/01/1695,74/104
207,372,373,46,Mariage,14/06/1768,46/216
208,372,374,37,Mariage,07/11/1624,8/022
209,370,375,55,Mariage,25/06/1829,154/475
210,372,376,46,Mariage,01/06/1745,169/180
211,372,377,2,Mariage,24/02/1659,85/166
212,372,378,48,Mariage,06/02/1769,297/303
213,372,379,64,Mariage,11/01/1853,200/282
214,372,380,65,Mariage,01/07/1717,76/087
215,381,382,66,Mariage,25/11/1711,114/131
216,372,383,65,Mariage,17/09/1697,46/055
217,372,384,46,Mariage,18/01/1718,62/079
218,372,385,46,Mariage,07/01/1817,97/470
219,372,386,51,Mariage,17/02/1789,85/127
220,387,388,52,Mariage,22/11/1876,34/062
221,389,390,19,Mariage,,89/120
222,391,392,56,Mariage,25/07/1855,10/111
223,393,394,2,Mariage,,78/095
224,395,396,67,Mariage,01/07/1698,40/048
225,397,398,68,Mariage,19/01/1768,65/189
226,399,400,69,Mariage,30/06/1688,44/044
227,401,402,70,Mariage,28/08/1709,55/071
228,403,404,71,Mariage,09/04/1845,149/293
229,399,405,72,Mariage,24/11/1813,384/388
230,399,406,51,Mariage,20/02/1708,3/027
231,399,407,1,Mariage,09/02/1820,13/491
232,399,408,73,Mariage,13/02/1623,16/069
233,399,409,46,Mariage,08/11/1757,44/230
234,399,410,28,Mariage,26/06/1687,133/387
235,399,411,57,Mariage,21/11/1825,374/381
236,412,413,74,Mariage,23/02/1740,18/024
237,399,414,48,Mariage,,19/058
238,399,415,75,Mariage,05/02/1687,13/156
239,399,416,76,Mariage,07/07/1693,3/006
240,417,418,2,Mariage,29/07/1884,66/167
241,419,420,43,Mariage,05/11/1806,226/460
242,421,422,77,Mariage,04/02/1777,
243,423,424,78,Mariage,14/06/1837,254/349
244,425,426,79,Mariage,26/11/1855,8/123
245,427,428,35,Mariage,10/02/1773,
246,429,430,51,Mariage,,11/131
247,431,432,80,Mariage,15/01/1771,102/189
248,433,434,81,Mariage,12/02/1765,3/096
249,433,435,72,Mariage,04/09/1745,
250,436,437,45,Mariage,27/06/1730,112/167
251,433,438,56,Mariage,28/01/1744,40/215
252,433,439,46,Mariage,18/02/1760,105/230
253,433,440,57,Mariage,17/10/1780,160/184
254,441,442,74,Mariage,23/04/1765,41/338
255,433,443,48,Mariage,08/11/1825,178/353
256,433,444,46,Mariage,22/06/1767,26/216
257,433,445,66,Mariage,24/11/1778,137/178
258,433,446,48,Mariage,10/05/1853,267/379
259,447,448,60,Mariage,,
260,449,450,35,Mariage,10/02/1739,19
261,433,451,57,Mariage,06/09/1790,125/151
262,452,453,82,Mariage,19/01/1773,61/167
263,454,455,1,Mariage,19/02/1787,23/054
264,454,456,43,Mariage,29/07/1812,163/413
265,454,457,56,Mariage,21/02/1843,263/420
266,433,458,83,Mariage,,48/142
267,454,459,77,Mariage,06/11/1748,101/319
268,454,460,77,Mariage,17/02/1744,57/319
269,461,462,77,Mariage,08/02/1764,
270,463,464,43,Mariage,09/10/1866,142/172
271,465,466,43,Mariage,05/05/1847,59/090
272,467,468,37,Mariage,23/07/1636,17/022
273,469,470,67,Mariage,08/07/1755,50/068
274,471,472,47,Mariage,18/06/1765,134/136
275,471,473,47,Mariage,21/01/1806,96/135
276,471,474,37,Mariage,07/11/1610,2/022
277,471,47,1,Mariage,10/07/1833,226/303
278,471,475,47,Mariage,,104/128
279,476,477,2,Mariage,06/11/1815,499/535
