ID,Nom,Departement
1,ABSIE (L') (= LA CHAPELLE SEGUIN),79
2,AIGUILLON SUR MER (L'),85
3,AIGUILLON SUR VIE (L'),85
4,AIRIÈRE (L'),85
5,AIZENAY,85
6,ANDILLY,17
7,ANGLES,85
8,ANTIGNY,85
9,APREMONT,85
10,ARDELAY,85
11,ARDIN,79
12,ARGENTON CHÂTEAU (=ARGENTON LES VALLÉES),79
13,ARÇAIS,79
14,AUBIERS (LES),79
15,AUBIGNY,85
16,AUZAY,85
17,AVRILLÉ,85
18,BARBÂTRE,85
19,BARRE DE MONTS (LA),85
20,BAZOGES EN PAILLERS,85
21,BAZOGES EN PAREDS,85
22,BEAUFOU,85
23,BEAULIEU SOUS BRESSUIRE,79
24,BEAULIEU SOUS LA ROCHE,85
25,BEAULIEU SUR MAREUIL,85
26,BEAUREPAIRE,85
27,BEAUVOIR SUR MER,85
28,BELLENOUE,85
29,BELLEVILLE (SUR VIE),85
30,BENET,85
31,BERNARD (LE),85
32,BERNARDIÈRE (LA),85
33,BESSAY,85
34,BEUGNON (LE),79
35,BOIS DE CENÉ,85
36,BOIS DE CÉNÉ,85
37,BOISMÉ,79
38,BOISSIÈRE DE MONTAIGU (LA),85
39,BOISSIÈRE DES LANDES (LA),85
40,BOUFFÉRÉ,85
41,BOUILDROUX,85
42,BOUILLÉ (COURDAULT),85
43,BOUIN,85
44,BOULOGNE,85
45,BOUPÈRE (LE),85
46,BOURG SOUS LA ROCHE (LE),85
47,BOURNEAU,85
48,BOURNEZEAU,85
49,BOUSSAY,44
50,BRESSUIRE,79
51,BRETONNIÈRE (LA CLAYE) (LA),85
52,BREUIL BARRET,85
53,BREUIL CHAUSSÉE,79
54,BROUZILS (LES),85
55,BRUFFIÈRE (LA),85
56,BRÉTIGNOLLES,79
57,BRÉTIGNOLLES (SUR MER),85
58,BUSSEAU (LE),79
59,BÉCELEUF,79
60,CAILLÈRE (SAINT HILAIRE) (LA),85
61,CARQUEFOU,44
62,CERIZAY,79
63,CEZAIS,85
64,CHAILLÉ LES MARAIS,85
65,CHAILLÉ SOUS LES ORMEAUX,85
66,CHAIX,85
67,CHAIZE GIRAUD (LA),85
68,CHAIZE LE VICOMTE (LA) (- SAINT JEAN),85
69,CHAIZE LE VICOMTE (LA) - SAINT NICOLAS,85
70,CHALLAIS,85
71,CHALLANS,85
72,CHAMBRETAUD,85
73,CHAMBROUTET,79
74,CHAMP SAINT PÈRE (LE),85
75,CHAMPAGNÉ LES MARAIS,85
76,CHANTONNAY,85
77,CHAPELLE ACHARD (LA),85
78,CHAPELLE AUX LYS (LA),85
79,CHAPELLE HERMIER (LA),85
80,CHAPELLE HEULIN (LA),44
81,CHAPELLE LARGEAU (LA),79
82,CHAPELLE PALLUAU (LA),85
83,CHAPELLE SAINT LAURENT (LA),79
84,CHAPELLE SAINT ÉTIENNE (LA),79
85,CHAPELLE THÉMER (LA),85
86,CHARZAIS,85
87,CHASNAIS,85
88,CHASSAIS L'ÉGLISE,85
89,CHASSENON,85
90,CHAUCHÉ,85
91,CHAUDRON EN MAUGES,49
92,CHAUME (LA),85
93,CHAVAGNES EN PAILLERS,85
94,CHAVAGNES LES REDOUX (... EN PAREDS),85
95,CHEFFOIS,85
96,CHEMILLE,49
97,CHÂTAIGNERAIE (LA),85
98,CHÂTEAU D'OLONNE,85
99,CHÂTEAU FROMAGE,85
100,CHÂTEAU GUIBERT,85
101,CHÂTEAUMUR,85
102,CHÂTEAUNEUF,85
103,CHÂTEAUPANNE,49
104,CHÂTELLIERS (CHÂTEAUMUR) (LES),85
105,CIRIÈRES,79
106,CLAYE (LA),85
107,CLAZAY,79
108,CLERE SUR LAYON,49
109,CLISSON (- LA TRINITÉ),44
110,CLISSON - LA MADELEINE,44
111,CLISSON - NOTRE DAME,44
112,CLISSON - SAINT GILLES,44
113,CLISSON - SAINT JACQUES,44
114,CLOUZEAUX (LES),85
115,COMBRAND,79
116,COMMEQUIERS,85
117,COPECHAGNIÈRE (LA),85
118,CORBAON,85
119,CORCOUÉ SUR LOGNE (= SAINT ETIENNE DE CORCOUÉ),44
120,CORON,49
121,CORPE,85
122,CORZE,49
123,COUDRIE (LA),85
124,COULON,79
125,COULONGES SUR L'AUTIZE,79
126,COURDAULT,85
127,COURLAY,79
128,COUTURE (LA),85
129,COËX,85
130,CROIX DE VIE (= SAINT GILLES CROIX DE VIE),85
131,CROSNIÈRE (LA),85
132,CUGAND,85
133,CURZON,85
134,DAMVIX,85
135,DENANT,85
136,DISSAIS,85
137,DOIX,85
138,DOMPIERRE (SUR MER),17
139,DOMPIERRE SUR YON,85
140,DÉSERT - PASTEUR JACQUES METAYER,85
141,DÉSERT - Pasteur Jacques METAYER,85
142,DÉSERT - Pasteur L.P. DAVID,85
143,ESSARTS (LES),85
144,FALLERON,85
145,FAYMOREAU,85
146,FENOUILLER (LE),85
147,FERRIÈRE (LA),85
148,FLOCELLIÈRE (LA),85
149,FONTAINES,85
150,FONTENAY LE COMTE (- NOTRE DAME),85
151,FONTENAY LE COMTE - SAINT JEAN BAPTISTE,85
152,FONTENAY LE COMTE - SAINT NICOLAS,85
153,FORÊT SUR SÈVRE (LA),79
154,FOUGERÉ,85
155,FOUSSAIS (PAYRÉ),85
156,FRESNAY (EN RETZ),44
157,FROIDFOND,85
158,GARNACHE (LA),85
159,GAUBRETIÈRE (LA),85
160,GENNETON,79
161,GENÉTOUZE (LA),85
162,GIROUARD (LE),85
163,GIVRAND,85
164,GIVRE (LE),85
165,GORGES,44
166,GRAND'LANDES,85
167,GROLLE (LA),85
168,GROSBREUIL,85
169,GRUES,85
170,GRÈVE (LA),85
171,GUYONNIÈRE (LA),85
172,GUÉ DE VELLUIRE (LE),85
173,GUÉRINIÈRE (LA),85
174,GÉNÉTOUZE (LA),85
175,GÉTIGNÉ,44
176,HABITES (LES),85
177,HERBERGEMENT (L'),85
178,HERBIERS (LES),85
179,HERMENAULT (L'),85
180,JALLAIS,49
181,JARD (SUR MER),85
182,JAUDONNIÈRE (LA),85
183,JONCHÈRE (LA),85
184,LAIROUX,85
185,LANDERONDE,85
186,LANDES GÉNUSSON (LES),85
187,LANDEVIEILLE,85
188,LANGON (LE),85
189,LANGON (LE),
190,LEGÉ,44
191,LESDAIN,59
192,LESSON,85
193,LIEZ,85
194,LIMOUZINIÈRE (LA),85
195,LOGE FOUGEREUSE,85
196,LONGERON (LE),49
197,LONGEVILLE (SUR MER),85
198,LONGEVILLE (SUR MER),
199,LONGÈVES,85
200,LOUBLANDE (SAINT HILAIRE DES ÉCHAUBROGNES),79
201,LUCS SUR BOULOGNE (LES) (- SAINT PIERRE),85
202,LUCS SUR BOULOGNE (LES) - NOTRE DAME,85
203,LUÇON,85
204,MACHECOUL,44
205,MACHÉ,85
206,MAGNILS (REIGNIERS) (LES),85
207,MAGNÉ,79
208,MAILLEZAIS,85
209,MAILLÉ,85
210,MALLIÈVRE,85
211,MARANS (17),17
212,MAREUIL SUR LAY (DISSAIS),85
213,MARIGNY,79
214,MARILLET,85
215,MARSAIS (SAINTE RADÉGONDE),85
216,MARTINET,85
217,MAULÉON (= CHÂTILLON SUR SÈVRE),79
218,MAY SUR ÈVRE (LE),49
219,MAZEAU (LE),85
220,MAZIÈRES EN MAUGES,49
221,MEILLERAIE (TILLAY) (LA),85
222,MELLE,79
223,MENOMBLET,85
224,MERLATIÈRE (LA),85
225,MERVENT,85
226,MESNARD LA BAROTIÈRE,85
227,MONCOUTANT,79
228,MONSIREIGNE,85
229,MONTAIGU (- SAINT JEAN BAPTISTE),85
230,MONTAIGU - SAINT JACQUES,85
231,MONTAIGU - SAINT NICOLAS,85
232,MONTIGNY,79
233,MONTOURNAIS,85
234,MONTRAVERS,79
235,MONTREUIL,85
236,MOREILLES,85
237,MORMAISON,85
238,MORTAGNE SUR SÈVRE,85
239,MOTHE ACHARD (LA),85
240,MOUCHAMPS,85
241,MOUILLERON EN PAREDS,85
242,MOUILLERON LE CAPTIF,85
243,MOULINS,79
244,MOUTIERS LES MAUXFAITS,85
245,MOUTIERS SUR LE LAY,85
246,MOUZEUIL (SAINT MARTIN),85
247,NALLIERS,85
248,NANTES,44
249,NESMY,85
250,NEUVY EN MAUGES,49
